isoform,offset,strae,r2
CYP1A2,0.29,0.9091594555324455,0.15021372679680212
CYP1A2,0.3,0.914043647255243,0.1445629527566623
CYP1A2,0.31,0.9190985485501908,0.1387237002500482
CYP1A2,0.32,0.9243743811103804,0.1326959692769598
CYP1A2,0.33,0.9298711159608064,0.126479759837398
CYP1A2,0.34,0.9355835512309431,0.12007507193136202
CYP1A2,0.35,0.9414910695700379,0.1134819055588524
CYP1A2,0.36,0.9476249086548111,0.10670026071986793
CYP1A2,0.37,0.9539792612662402,0.09973013741441017
CYP1A2,0.38,0.9605334096136167,0.09257153564247855
CYP1A2,0.39,0.9673019943155322,0.08522445540407286
CYP1A2,0.4,0.9742648279059805,0.07768889669919254
CYP1A2,0.41,0.981415718090872,0.06996485952783893
CYP1A2,0.42,0.9887699921142693,0.06205234389001146
CYP1A2,0.43,0.9963302159137807,0.05395134978570992
CYP1A2,0.44,1.004074160272576,0.045661877214933755
CYP1A2,0.45,1.012018481452308,0.03718392617768429
CYP1A2,0.46,1.0201680692694821,0.028517496673960863
CYP1A2,0.47,1.0285196899061622,0.019662588703763584
CYP1A2,0.48,1.037083351207734,0.010619202267091898
CYP1A2,0.49,1.0458418755930017,0.0013873373639460285
CYP1A2,0.5,1.054797906371911,-0.008033006005673027
CYP1A2,0.51,1.0639311342278288,-0.017641827841766267
CYP1A2,0.52,1.0732377184238246,-0.027439128144334024
CYP1A2,0.53,1.0827294847238407,-0.03742490691337541
CYP1A2,0.54,1.0923844107415699,-0.04759916414889065
CYP1A2,0.55,1.1021892319189708,-0.05796189985087974
CYP1A2,0.56,1.1121565416486752,-0.06851311401934312
CYP1A2,0.57,1.122289909950879,-0.07925280665428058
CYP1A2,0.58,1.132593386453417,-0.09018097775569167
CYP1A2,0.59,1.1430492768373777,-0.10129762732357639
CYP1A2,0.6,1.153655820183268,-0.1126027553579354
CYP1A2,0.61,1.1644312930332432,-0.12409636185876916
CYP1A2,0.62,1.1753832452273298,-0.13577844682607587
CYP1A2,0.63,1.1864855813091535,-0.14764901025985688
CYP1A2,0.64,1.1977490021612438,-0.15970805216011175
CYP1A2,0.65,1.2091819179550427,-0.17195557252684135
CYP1A2,0.66,1.2207713441569739,-0.18439157136004392
CYP1A2,0.67,1.2325060110033115,-0.19701604865972078
CYP1A2,0.68,1.2444170391901397,-0.20982900442587105
CYP1A2,0.69,1.2564908672484723,-0.22283043865849628
