isoform,offset,s,strae
CYP1A2,-1.7,0.7,3.1261451341920714
CYP1A2,-1.7,0.75,3.1202642631807573
CYP1A2,-1.7,0.8,3.114498074957058
CYP1A2,-1.7,0.85,3.1089220450902326
CYP1A2,-1.7,0.9,3.1035332196445675
CYP1A2,-1.7,0.95,3.0984994706918823
CYP1A2,-1.7,1.0,3.093730681420426
CYP1A2,-1.7,1.05,3.0891795337961163
CYP1A2,-1.7,1.1,3.0849200129584826
CYP1A2,-1.7,1.15,3.0809516547358617
CYP1A2,-1.7,1.2,3.0772374148334003
CYP1A2,-1.7,1.25,3.0737957723456164
CYP1A2,-1.7,1.3,3.0708077076483815
CYP1A2,-1.7,1.35,3.06807372514895
CYP1A2,-1.7,1.4,3.065825291949694
CYP1A2,-1.7,1.45,3.0640264455276394
CYP1A2,-1.7,1.5,3.0627586153762727
CYP1A2,-1.7,1.55,3.0620683548505188
CYP1A2,-1.7,1.6,3.0618992757895023
CYP1A2,-1.7,1.65,3.0623454700405306
CYP1A2,-1.7,1.7,3.0632319791771176
CYP1A2,-1.7,1.75,3.064645265794034
CYP1A2,-1.7,1.8,3.0666256882162646
CYP1A2,-1.7,1.85,3.069128945478999
CYP1A2,-1.7,1.9,3.0721907593796014
CYP1A2,-1.7,1.95,3.0758953066064536
CYP1A2,-1.7,2.0,3.0802539432103386
CYP1A2,-1.7,2.05,3.0851951135892945
CYP1A2,-1.7,2.1,3.0909226337621223
CYP1A2,-1.7,2.15,3.097324128071866
CYP1A2,-1.7,2.2,3.104467435034581
CYP1A2,-1.7,2.25,3.112385386180643
CYP1A2,-1.7,2.3,3.121153638476369
CYP1A2,-1.7,2.35,3.130679796060364
CYP1A2,-1.7,2.4,3.14103847147252
CYP1A2,-1.7,2.45,3.1520942503740916
CYP1A2,-1.7,2.5,3.1638700169394416
CYP1A2,-1.7,2.55,3.176501207330594
CYP1A2,-1.7,2.6,3.189931040033119
CYP1A2,-1.7,2.65,3.2041378376118463
CYP1A2,-1.7,2.7,3.219150745356846
CYP1A2,-1.7,2.75,3.2350113853301945
CYP1A2,-1.7,2.8,3.251676827655795
CYP1A2,-1.7,2.85,3.2690487316468455
CYP1A2,-1.7,2.9,3.2871302217626464
CYP1A2,-1.7,2.95,3.305885282409666
CYP1A2,-1.7,3.0,3.3252991012537536
CYP1A2,-1.65,0.2,3.102963890547982
CYP1A2,-1.65,0.25,3.0956679038173407
CYP1A2,-1.65,0.3,3.0885922108385024
CYP1A2,-1.65,0.35,3.081641095067092
CYP1A2,-1.65,0.4,3.074870185860827
CYP1A2,-1.65,0.45,3.0682719181900104
CYP1A2,-1.65,0.5,3.0618015618692738
CYP1A2,-1.65,0.55,3.0554402632365516
CYP1A2,-1.65,0.6,3.049181122107761
CYP1A2,-1.65,0.65,3.0430316443376917
CYP1A2,-1.65,0.7,3.0369719636406325
CYP1A2,-1.65,0.75,3.031008456603602
CYP1A2,-1.65,0.8,3.02521189258844
CYP1A2,-1.65,0.85,3.019554766866269
CYP1A2,-1.65,0.9,3.014122948603838
CYP1A2,-1.65,0.95,3.0090171479829815
