repeat,fold,arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
2,1,aid,3884972972,CYP2C9_pIC50_direct_inhibition,0.6117192909044082,0.4608006917051906,0.4702717909036862,0.6699948910090121,0.4875620436386637
2,1,aid,3884972972,CYP2D6_pIC50_direct_inhibition,0.8951214954525615,0.6101555953615786,0.1507449094004607,0.4499992739047029,0.316910083583924
2,1,aid,3884972972,CYP3A4_pIC50_direct_inhibition,0.5251891568161264,0.5281019227486131,0.6360219763065718,0.7972492904646125,0.6078304205227957
2,1,aid,3884972972,MA,0.722796517961437,0.5546679179924358,0.3873747628030606,0.617154716182145,0.4499184812153929
2,1,baseline,3884972972,CYP1A2_pIC50_direct_inhibition,0.8405455999880922,0.6216620379960072,0.2420346966724929,0.5040064742405573,0.3481951771357507
2,1,baseline,3884972972,CYP2C9_pIC50_direct_inhibition,0.6536627468630704,0.4740873390146226,0.4088746102310583,0.6198108012665593,0.4466518569314404
2,1,baseline,3884972972,CYP2D6_pIC50_direct_inhibition,0.8474571751545268,0.5950614431680535,0.1730438111589113,0.4554697583144873,0.3181202168902522
2,1,baseline,3884972972,CYP3A4_pIC50_direct_inhibition,0.5961307648607449,0.562116751282647,0.5661025262904059,0.7664119866900808,0.5717114166193692
2,1,baseline,3884972972,MA,0.7344490717166086,0.5632318928653325,0.347513911088217,0.5864247551279212,0.4211696668942031
2,2,aid,829139639,CYP1A2_pIC50_direct_inhibition,0.8256401300785243,0.6572033019435907,0.3218737347194766,0.5610661176818866,0.3959411883486846
2,2,aid,829139639,CYP2C9_pIC50_direct_inhibition,0.6098328180590787,0.4625710487305816,0.3847477955696438,0.6946390713279444,0.5163373520796882
2,2,aid,829139639,CYP2D6_pIC50_direct_inhibition,0.9031303690068212,0.6202415468041118,0.2274956628383945,0.4714957198603617,0.326937652019744
2,2,aid,829139639,CYP3A4_pIC50_direct_inhibition,0.5439310242804319,0.5555698770020261,0.561183507765622,0.7652502296743897,0.5746164162298624
2,2,aid,829139639,MA,0.7206335853562141,0.5738964436200775,0.3738251752232842,0.6231127846361456,0.4534581521694947
2,2,baseline,829139639,CYP1A2_pIC50_direct_inhibition,0.9185532544738018,0.6944255504904563,0.2493618857402323,0.5172887641873449,0.3661147358873041
2,2,baseline,829139639,CYP2C9_pIC50_direct_inhibition,0.6578019556892816,0.4449271029795356,0.3660502414133114,0.6697054443275193,0.4844398417036226
2,2,baseline,829139639,CYP2D6_pIC50_direct_inhibition,1.019859886216185,0.6717557957611049,0.1400105062925898,0.4424169316016659,0.3041243456321582
2,2,baseline,829139639,CYP3A4_pIC50_direct_inhibition,0.5214511642464363,0.5288422726996479,0.591975344660063,0.7811723138162541,0.5903217776418476
2,2,baseline,829139639,MA,0.7794165651564261,0.5849876804826862,0.3368494945265491,0.602645863483196,0.4362501752162331
2,3,aid,2545567356,CYP1A2_pIC50_direct_inhibition,0.8613594903838016,0.6458958899622711,0.2376777977343768,0.489606129854586,0.3373334242703884
2,3,aid,2545567356,CYP2C9_pIC50_direct_inhibition,0.6632087954333086,0.4623100328047606,0.3796595310628315,0.5886266240617898,0.4252049493099578
2,3,aid,2545567356,CYP2D6_pIC50_direct_inhibition,0.9002296733531004,0.5891066789676321,0.1263396420011841,0.3802679541897458,0.2569648021878253
2,3,aid,2545567356,CYP3A4_pIC50_direct_inhibition,0.5503856918236276,0.5559973154053311,0.5425888171410239,0.7212733275767231,0.5350592942036456
2,3,aid,2545567356,MA,0.7437959127484596,0.5633274792849987,0.3215664469848541,0.5449435089207112,0.3886406174929543
2,3,baseline,2545567356,CYP1A2_pIC50_direct_inhibition,0.9592837674436272,0.6936096271368979,0.1472775429995052,0.4565923731910461,0.3142285489364649
2,3,baseline,2545567356,CYP2C9_pIC50_direct_inhibition,0.7226515617241018,0.4636595782249768,0.4178045956926889,0.6180745702580506,0.4457647946379128
2,3,baseline,2545567356,CYP2D6_pIC50_direct_inhibition,1.0284653795334755,0.6469974409441003,-0.003884968606375,0.3875622320566639,0.2611040037237002
2,3,baseline,2545567356,CYP3A4_pIC50_direct_inhibition,0.5374126215193287,0.53789559980978,0.5496988862428738,0.7329612393274839,0.5510802629130381
2,3,baseline,2545567356,MA,0.8119533325551334,0.5855405615289387,0.2777240140821732,0.5487976037083112,0.393044402552779
2,4,aid,2718398101,CYP1A2_pIC50_direct_inhibition,0.7252209097153094,0.6521512300419372,0.3304298384028328,0.5660544772927265,0.4032147948152996
2,4,aid,2718398101,CYP2C9_pIC50_direct_inhibition,0.5190071337531122,0.4368376359692387,0.5201658179813522,0.7154715132475666,0.52505453367874
